2021-10-26 10:45:18 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:18 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:21 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:21 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:29 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:29 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:31 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:31 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:34 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:34 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:35 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:35 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:47 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:47 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:49 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:49 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:51 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:51 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:52 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:52 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:57 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:57 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:59 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:59 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:46:29 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:46:29 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:46:30 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:46:30 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:46:35 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:46:35 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:46:35 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:46:35 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:46:53 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 12:37:02 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 12:37:03 DEBUG chesslib.c:184: g_move_to | en_passant = 0
2021-10-26 12:37:03 DEBUG chesslib.c:185: g_move_to | is_castling = 0
2021-10-26 12:37:04 DEBUG chesslib.c:184: g_move_to | en_passant = 0
2021-10-26 12:37:04 DEBUG chesslib.c:185: g_move_to | is_castling = 0
2021-10-26 12:37:06 DEBUG chesslib.c:184: g_move_to | en_passant = 0
2021-10-26 12:37:06 DEBUG chesslib.c:185: g_move_to | is_castling = 0
2021-10-26 12:37:08 DEBUG chesslib.c:184: g_move_to | en_passant = 0
2021-10-26 12:37:08 DEBUG chesslib.c:185: g_move_to | is_castling = 0
2021-10-26 12:37:09 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 12:39:57 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 12:40:03 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:03 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:04 DEBUG chesslib.c:167: g_alpha_beta | 162537 -90 57 42 0 0 0.803000 
2021-10-26 12:40:04 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:04 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:23 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:23 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:25 DEBUG chesslib.c:167: g_alpha_beta | 224793 -155 52 36 0 0 1.122000 
2021-10-26 12:40:25 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:25 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:30 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:30 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:33 DEBUG chesslib.c:167: g_alpha_beta | 373160 -175 62 45 0 0 1.671000 
2021-10-26 12:40:33 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:33 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:34 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:34 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:36 DEBUG chesslib.c:167: g_alpha_beta | 325496 -205 61 25 0 0 1.381000 
2021-10-26 12:40:36 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:36 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:39 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:39 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:41 DEBUG chesslib.c:167: g_alpha_beta | 406555 -200 60 62 0 3 2.016000 
2021-10-26 12:40:41 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:41 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:40:44 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:44 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:40:44 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:44 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:40:47 DEBUG chesslib.c:167: g_alpha_beta | 357637 -220 51 35 0 0 1.752000 
2021-10-26 12:40:47 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:40:47 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:33 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 12:49:36 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 12:49:38 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:38 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:40 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.791000 
2021-10-26 12:49:40 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:40 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:43 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:43 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:46 DEBUG chesslib.c:167: g_alpha_beta | 581163 -165 59 45 0 0 2.324000 
2021-10-26 12:49:46 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:46 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:47 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:47 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:53 DEBUG chesslib.c:167: g_alpha_beta | 1044572 -205 51 35 0 0 4.863000 
2021-10-26 12:49:53 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:53 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:49:56 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:56 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:49:56 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:49:56 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:50:04 DEBUG chesslib.c:167: g_alpha_beta | 1499363 -185 57 42 0 0 7.047000 
2021-10-26 12:50:04 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:50:04 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:50:37 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:50:37 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:50:48 DEBUG chesslib.c:167: g_alpha_beta | 2284848 -180 44 36 0 0 9.531000 
2021-10-26 12:50:48 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:50:48 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:52:29 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:52:29 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:52:38 DEBUG chesslib.c:167: g_alpha_beta | 1720252 -315 58 30 0 0 8.181000 
2021-10-26 12:52:38 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:52:38 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:53:49 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 12:54:00 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 12:54:13 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:13 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:14 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.790000 
2021-10-26 12:54:14 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:14 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:18 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:18 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:22 DEBUG chesslib.c:167: g_alpha_beta | 581163 -165 59 45 0 0 2.419000 
2021-10-26 12:54:22 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:22 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:25 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:25 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:30 DEBUG chesslib.c:167: g_alpha_beta | 1044572 -205 51 35 0 0 4.921000 
2021-10-26 12:54:30 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:30 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:54:33 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:33 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:54:33 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:33 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 12:54:41 DEBUG chesslib.c:167: g_alpha_beta | 1499363 -185 57 42 0 0 6.958000 
2021-10-26 12:54:41 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:54:41 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:58:15 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:58:15 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 12:58:24 DEBUG chesslib.c:167: g_alpha_beta | 2209115 -200 44 36 0 0 8.934000 
2021-10-26 12:58:24 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 12:58:24 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:22 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 13:00:34 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 13:00:39 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:39 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:39 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:40 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.773000 
