2022-01-21 09:30:54 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:30:55 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:30:57 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:30:59 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:30:59 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:59 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:59 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:31:00 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:31:02 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:31:02 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:31:02 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:31:02 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:31:02 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:31:05 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:31:05 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:31:05 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:31:05 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:31:07 DEBUG win32chesslib.c:88: g_close_chess_lib
2022-01-21 09:32:10 DEBUG win32chesslib.c:78: g_init_chess_lib
2022-01-21 09:32:14 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:16 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:16 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:16 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:16 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:16 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:32:18 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:32:18 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:18 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:18 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:19 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:21 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:21 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:21 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:21 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:21 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:32:24 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:32:24 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:24 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:24 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:24 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:26 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:26 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:26 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:26 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:26 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:32:29 DEBUG win32chesslib.c:229: g_move_to | color = 1
